Word,Upvote,Link,Comment,Follower,AnswerSum,useful
82,1,1,0,41,601,yes
53,2,0,1,360,17,yes
20,1,1,1,342,94,no
392,0,0,0,120,125,yes
244,0,0,0,532,"3,262",yes
303,2,0,1,103,102,yes
229,276,1,1,"14,071",476,yes
804,52,0,1,"3,257",270,yes
67,2,1,0,5,31,yes
36,8,0,1,30,58,yes
344,19,0,1,31,10,no
36,4,1,0,18,1,no
24,11,0,0,"3,153",163,no
174,0,0,0,"1,206","1,613",no
52,0,0,0,120,125,no
9,0,0,0,468,35,yes
60,0,0,0,497,594,yes
7,6,1,0,609,377,no
118,2,0,0,166,"1,431",yes
100,1,0,0,532,"3,262",yes
450,5,0,0,497,594,yes
65,2,0,1,115,1,yes
67,0,1,0,29,31,yes
42,2,0,0,256,323,yes
87,3,0,0,480,260,yes
186,0,0,0,238,155,yes
92,3,0,0,92,179,yes
126,0,1,0,163,168,yes
7,0,0,0,212,56,no
41,2,0,1,167,40,yes
56,473,0,1,75,35,yes
45,91,0,1,456,382,no
55,48,1,0,96,16,no
56,8,0,1,"5,331",333,yes
313,3.2k,0,1,"29,268","1,294",no
138,624,1,1,76,7,yes
265,579,1,0,179,58,no
209,160,1,0,92,179,no
199,135,1,1,12,73,no
199,441,1,1,389,56,no
130,77,0,1,"1,097",118,no
280,167,0,1,277,308,no
315,83,1,0,331,93,no
114,23,1,1,14,2,no
158,30,0,1,497,594,no
46,106,1,0,686,20,no
64,33,0,0,15,6,no
234,82,0,0,179,58,yes
19,326,0,1,"5,726",942,no
147,28,1,0,8,0,yes
48,0,1,0,59,71,no
12,2,0,0,84,62,no
29,5k,0,1,,,no
21,2,0,1,"4,449",162,yes
83,2,0,1,573,297,yes
3,1,1,0,128,7,no
21,0,1,0,65,105,yes
103,0,1,0,120,125,yes
32,0,0,0,"3,245","1,089",no
853,20,1,1,148,113,no
210,63,0,1,"26,858",873,yes
150,4,0,0,3,37,no
205,5,0,0,72,86,no
504,4,0,1,1,11,no
5,2,0,0,80,21,no
14,5,0,0,114,5,yes
67,24,0,0,"3,087",540,yes
83,10,0,1,"5,684",457,yes
150,3,1,1,515,282,yes
96,6,0,0,"3,070",197,yes
107,37,0,1,"2,524",257,yes
539,7,0,0,163,84,no
850,678,1,1,"6,328",354,yes
102,136,1,1,495,95,no
434,48,0,0,495,38,no
65,12,0,0,118,31,no
12,5,0,0,64,1,no
288,258,0,1,467,13,yes
846,41,0,1,286,19,no
768,392,1,1,761,96,no
76,24,1,0,"3,087",540,yes
168,5,1,0,208,13,no
76,6,1,0,692,63,no
3,1,0,1,24,44,no
132,5,1,0,577,96,yes
