@relation Radix+sort1

@attribute Word numeric
@attribute Upvote {1.0,2.0,0.0,276.0,52.0,8.0,19.0,4.0,11.0,6.0,5.0,3.0,473.0,91.0,48.0,3.2k,624.0,579.0,160.0,135.0,441.0,77.0,167.0,83.0,23.0,30.0,106.0,33.0,82.0,326.0,28.0,5k,20.0,63.0,24.0,10.0,37.0,7.0,678.0,136.0,12.0,258.0,41.0,392.0}
@attribute Link numeric
@attribute Comment numeric
@attribute Follower {41.0,360.0,342.0,120.0,532.0,103.0,'14,071','3,257',5.0,30.0,31.0,18.0,'3,153','1,206',468.0,497.0,609.0,166.0,115.0,29.0,256.0,480.0,238.0,92.0,163.0,212.0,167.0,75.0,456.0,96.0,'5,331','29,268',76.0,179.0,12.0,389.0,'1,097',277.0,331.0,14.0,686.0,15.0,'5,726',8.0,59.0,84.0,'4,449',573.0,128.0,65.0,'3,245',148.0,'26,858',3.0,72.0,1.0,80.0,114.0,'3,087','5,684',515.0,'3,070','2,524','6,328',495.0,118.0,64.0,467.0,286.0,761.0,208.0,692.0,24.0,577.0}
@attribute AnswerSum {601.0,17.0,94.0,125.0,'3,262',102.0,476.0,270.0,31.0,58.0,10.0,1.0,163.0,'1,613',35.0,594.0,377.0,'1,431',323.0,260.0,155.0,179.0,168.0,56.0,40.0,382.0,16.0,333.0,'1,294',7.0,73.0,118.0,308.0,93.0,2.0,20.0,6.0,942.0,0.0,71.0,62.0,162.0,297.0,105.0,'1,089',113.0,873.0,37.0,86.0,11.0,21.0,5.0,540.0,457.0,282.0,197.0,257.0,84.0,354.0,95.0,38.0,13.0,19.0,96.0,63.0,44.0}

@data
82,1.0,1,0,41.0,601.0
53,2.0,0,1,360.0,17.0
20,1.0,1,1,342.0,94.0
392,0.0,0,0,120.0,125.0
244,0.0,0,0,532.0,'3,262'
303,2.0,0,1,103.0,102.0
229,276.0,1,1,'14,071',476.0
804,52.0,0,1,'3,257',270.0
67,2.0,1,0,5.0,31.0
36,8.0,0,1,30.0,58.0
344,19.0,0,1,31.0,10.0
36,4.0,1,0,18.0,1.0
24,11.0,0,0,'3,153',163.0
174,0.0,0,0,'1,206','1,613'
52,0.0,0,0,120.0,125.0
9,0.0,0,0,468.0,35.0
60,0.0,0,0,497.0,594.0
7,6.0,1,0,609.0,377.0
118,2.0,0,0,166.0,'1,431'
100,1.0,0,0,532.0,'3,262'
450,5.0,0,0,497.0,594.0
65,2.0,0,1,115.0,1.0
67,0.0,1,0,29.0,31.0
42,2.0,0,0,256.0,323.0
87,3.0,0,0,480.0,260.0
186,0.0,0,0,238.0,155.0
92,3.0,0,0,92.0,179.0
126,0.0,1,0,163.0,168.0
7,0.0,0,0,212.0,56.0
41,2.0,0,1,167.0,40.0
56,473.0,0,1,75.0,35.0
45,91.0,0,1,456.0,382.0
55,48.0,1,0,96.0,16.0
56,8.0,0,1,'5,331',333.0
313,3.2k,0,1,'29,268','1,294'
138,624.0,1,1,76.0,7.0
265,579.0,1,0,179.0,58.0
209,160.0,1,0,92.0,179.0
199,135.0,1,1,12.0,73.0
199,441.0,1,1,389.0,56.0
130,77.0,0,1,'1,097',118.0
280,167.0,0,1,277.0,308.0
315,83.0,1,0,331.0,93.0
114,23.0,1,1,14.0,2.0
158,30.0,0,1,497.0,594.0
46,106.0,1,0,686.0,20.0
64,33.0,0,0,15.0,6.0
234,82.0,0,0,179.0,58.0
19,326.0,0,1,'5,726',942.0
147,28.0,1,0,8.0,0.0
48,0.0,1,0,59.0,71.0
12,2.0,0,0,84.0,62.0
29,5k,0,1,?,?
21,2.0,0,1,'4,449',162.0
83,2.0,0,1,573.0,297.0
3,1.0,1,0,128.0,7.0
21,0.0,1,0,65.0,105.0
103,0.0,1,0,120.0,125.0
32,0.0,0,0,'3,245','1,089'
853,20.0,1,1,148.0,113.0
210,63.0,0,1,'26,858',873.0
150,4.0,0,0,3.0,37.0
205,5.0,0,0,72.0,86.0
504,4.0,0,1,1.0,11.0
5,2.0,0,0,80.0,21.0
14,5.0,0,0,114.0,5.0
67,24.0,0,0,'3,087',540.0
83,10.0,0,1,'5,684',457.0
150,3.0,1,1,515.0,282.0
96,6.0,0,0,'3,070',197.0
107,37.0,0,1,'2,524',257.0
539,7.0,0,0,163.0,84.0
850,678.0,1,1,'6,328',354.0
102,136.0,1,1,495.0,95.0
434,48.0,0,0,495.0,38.0
65,12.0,0,0,118.0,31.0
12,5.0,0,0,64.0,1.0
288,258.0,0,1,467.0,13.0
846,41.0,0,1,286.0,19.0
768,392.0,1,1,761.0,96.0
76,24.0,1,0,'3,087',540.0
168,5.0,1,0,208.0,13.0
76,6.0,1,0,692.0,63.0
3,1.0,0,1,24.0,44.0
132,5.0,1,0,577.0,96.0
