@relation Randomized+algorithm

@attribute Word numeric
@attribute Upvote numeric
@attribute Link numeric
@attribute Comment numeric
@attribute Follower {'7,598',110.0,'1,644',85.0,55.0,22.0,130.0,'9,643',169.0,231.0,'89,243',353.0,'3,453',26.0,178.0,740.0,296.0,237.0,141.0,12.0,'4,124',36.0,82.0,56.0,259.0,6.0,576.0,1.0,35.0,312.0,58.0,88.0,'4,261',358.0,'16,665','29,269',657.0,'15,786','3,871','6,412','26,858',76.0,834.0,'1,913',120.0,909.0,23.0,48.0,113.0,3.0,645.0,289.0,'5,609',184.0,'4,454',51.0,216.0,345.0,'18,216',111.0}
@attribute AnswerSum {104.0,39.0,'1,079',61.0,9.0,5.0,184.0,32.0,91.0,102.0,903.0,158.0,'3,181',63.0,264.0,283.0,101.0,4.0,81.0,2.0,'2,908',10.0,617.0,14.0,0.0,280.0,74.0,467.0,177.0,475.0,689.0,173.0,537.0,'1,294',314.0,946.0,521.0,'2,473',873.0,15.0,531.0,18.0,12.0,161.0,1.0,23.0,'2,828',57.0,97.0,6.0,47.0,'1,213',56.0}
@attribute useful {yes,no}

@data
986,66,1,1,'7,598',104.0,yes
286,15,1,0,110.0,39.0,yes
137,1,0,0,'1,644','1,079',yes
106,6,0,0,85.0,61.0,yes
629,4,1,0,55.0,9.0,yes
138,0,0,0,22.0,5.0,yes
101,1,0,0,130.0,184.0,yes
342,152,0,1,'9,643',32.0,yes
210,5,0,0,22.0,61.0,yes
35,0,1,0,169.0,91.0,no
13,3,0,0,231.0,102.0,no
9,1,1,0,'89,243',903.0,no
12,0,1,0,353.0,158.0,no
13,0,1,0,'3,453','3,181',no
34,0,0,0,26.0,63.0,yes
91,1,0,0,178.0,264.0,yes
184,9,0,1,740.0,283.0,yes
122,12,1,0,296.0,101.0,yes
220,11,1,0,237.0,4.0,no
142,2,0,0,141.0,81.0,yes
80,4,1,0,12.0,2.0,no
330,2,0,0,26.0,63.0,yes
33,4,0,1,'4,124','2,908',no
47,0,1,0,36.0,10.0,no
128,0,0,1,82.0,617.0,yes
131,1,1,0,56.0,14.0,no
36,1,0,0,259.0,102.0,yes
21,1,0,0,6.0,0.0,yes
41,1,0,1,576.0,280.0,yes
113,1,0,1,1.0,74.0,no
462,44,0,0,35.0,10.0,no
492,6,0,0,312.0,467.0,no
50,2,1,0,58.0,177.0,no
21,3,1,0,88.0,475.0,no
116,27,0,1,'4,261',689.0,yes
42,1,0,0,358.0,173.0,yes
47,121,0,1,'16,665',537.0,no
220,189,0,1,'29,269','1,294',no
82,54,0,0,'4,124','2,908',yes
184,10,0,0,657.0,314.0,no
244,59,0,0,'15,786',946.0,no
159,17,0,0,'3,871',521.0,no
86,50,0,1,'6,412','2,473',no
88,37,1,0,'26,858',873.0,no
52,9,0,0,76.0,15.0,no
218,65,1,1,834.0,9.0,no
86,24,0,0,'3,453','3,181',no
44,9,1,0,'1,913',314.0,yes
75,3,0,0,120.0,15.0,no
37,6,0,0,909.0,531.0,no
91,14,0,1,23.0,18.0,no
78,9,0,0,48.0,12.0,no
36,13,0,0,113.0,161.0,no
100,8,1,0,3.0,1.0,no
66,1,0,0,645.0,23.0,no
46,10,0,0,289.0,2.0,no
17,5,0,0,'5,609','2,828',no
48,5,0,0,184.0,1.0,no
74,11,0,1,35.0,57.0,no
13,19,0,1,'4,454',97.0,no
154,7,0,0,51.0,6.0,no
244,1,0,0,216.0,47.0,no
60,2,0,0,1.0,6.0,no
19,0,0,0,1.0,1.0,no
41,2,1,1,358.0,173.0,yes
206,0,1,0,345.0,74.0,yes
366,144,1,1,'18,216','1,213',no
38,25,1,1,'9,643',32.0,no
50,1,1,0,3.0,1.0,yes
67,0,0,0,?,?,yes
122,1,0,0,111.0,56.0,yes
