@relation ????

@attribute Word numeric
@attribute Upvote {1.0,5.0,23.0,9.0,7.0,11.0,24.0,0.0,6.0,3.0,2.0,17.0,54.0,82.0,14.0,10.0,42.0,12.0,27.0,4.0,73.0,21.0,8.0,80.0,28.0,273.0,1.4k,316.0,162.0,556.0,711.0,35.0,16.0,22.0,19.0,312.0,807.0,266.0,92.0,30.0,140.0,15.0,13.0,189.0,59.0,64.0,52.0,51.0,91.0,48.0,297.0,33.0,146.0,5.8k,1k,606.0,84.0,78.0,25.0,41.0,119.0,153.0,264.0,170.0,103.0,32.0,40.0,62.0,29.0,276.0,473.0,3.2k,624.0,579.0,160.0,135.0,441.0,77.0,167.0,83.0,106.0,326.0,5k,20.0,63.0,37.0,678.0,136.0,258.0,392.0,66.0,152.0,44.0,121.0,50.0,65.0,144.0,57.0,184.0,141.0,31.0,79.0,43.0,122.0,74.0,115.0,76.0,58.0,223.0,204.0,156.0,174.0,60.0,18.0,85.0,46.0,635.0,49.0,47.0,5.1k,672.0,26.0,34.0,857.0,324.0,826.0,96.0,3.8k,95.0,87.0,440.0,131.0,625.0,70.0,350.0,39.0}
@attribute Link numeric
@attribute Comment numeric
@attribute Follower {269.0,'10,174','4,119','16,651',387.0,375.0,'10,175','6,162','28,623','1,644',71.0,13.0,272.0,1.0,18.0,17.0,21.0,597.0,115.0,80.0,146.0,89.0,697.0,599.0,36.0,472.0,'1,829',135.0,53.0,170.0,238.0,'2,748',242.0,46.0,83.0,20.0,77.0,6.0,723.0,40.0,12.0,'4,594',281.0,58.0,'1,119',322.0,176.0,97.0,357.0,'9,100',267.0,'6,704',645.0,'49,950',0.0,160.0,'26,838','27,814','9,858',163.0,'14,060',32.0,'7,143',137.0,531.0,'1,956',110.0,82.0,15.0,61.0,5.0,221.0,274.0,467.0,159.0,11.0,8.0,10.0,34.0,41.0,109.0,90.0,39.0,'5,672',14.0,9.0,548.0,132.0,66.0,19.0,711.0,'6,409',51.0,'19,986',270.0,155.0,70.0,3.0,185.0,248.0,672.0,121.0,'1,378','6,327',30.0,48.0,187.0,2.0,'4,335','3,116','1,280',260.0,922.0,7.0,179.0,'1,318',314.0,338.0,27.0,251.0,458.0,85.0,603.0,26.0,'1,994',144.0,956.0,79.0,651.0,515.0,4.0,'5,592',38.0,45.0,460.0,78.0,211.0,91.0,321.0,87.0,189.0,355.0,67.0,424.0,210.0,280.0,93.0,204.0,324.0,96.0,'3,059',465.0,134.0,37.0,808.0,'1,063',555.0,'6,480',271.0,33.0,223.0,577.0,317.0,361.0,649.0,'4,636',143.0,'1,729',59.0,278.0,256.0,129.0,50.0,'4,269',25.0,63.0,57.0,328.0,'1,963','2,215','29,212','15,750',827.0,120.0,113.0,644.0,290.0,184.0,'4,449',216.0,392.0,330.0,583.0,332.0,300.0,'1,598',29.0,788.0,177.0,249.0,456.0,359.0,277.0,574.0,'31,298',166.0,23.0,'1,116',136.0,140.0,446.0,440.0,504.0,49.0,'1,960','2,781',394.0,311.0,65.0,713.0,56.0,128.0,230.0,418.0,'3,453',205.0,16.0,122.0,372.0,62.0,182.0,42.0,363.0,741.0,227.0,84.0,31.0,'11,784','14,122',282.0,35.0,447.0,'1,997',957.0,201.0,225.0,60.0,865.0,'1,734','6,417',627.0,151.0,'2,884',162.0,231.0,28.0,'2,786',790.0,150.0,425.0,92.0,126.0,228.0,266.0,212.0,'7,765',127.0,103.0,834.0,116.0,76.0,763.0,'1,397',813.0,289.0,730.0,86.0,537.0,22.0,186.0,214.0,'4,634','1,645','5,715',619.0,161.0,118.0,'4,275','1,504',191.0,'4,648',43.0,279.0,202.0,'2,440',69.0,273.0,'2,227',579.0,777.0,313.0,206.0,72.0,54.0,584.0,907.0,152.0,81.0,516.0,203.0,'6,899','1,137',44.0,360.0,342.0,532.0,14071.0,3257.0,3153.0,1206.0,468.0,497.0,609.0,480.0,167.0,75.0,5331.0,29268.0,389.0,1097.0,331.0,686.0,5726.0,4449.0,573.0,3245.0,148.0,26858.0,114.0,3087.0,5684.0,3070.0,2524.0,6328.0,495.0,64.0,286.0,761.0,208.0,692.0,24.0,'7,598',55.0,130.0,'9,643',169.0,'89,243',353.0,178.0,740.0,296.0,237.0,141.0,'4,124',259.0,576.0,312.0,88.0,'4,261',358.0,'16,665','29,269',657.0,'15,786','3,871','6,412','26,858','1,913',909.0,'5,609','4,454',345.0,'18,216',111.0,142.0,299.0,252.0,639.0,421.0,190.0,441.0,'11,789',674.0,222.0,766.0,'6,328',571.0,284.0,154.0,600.0,68.0,131.0,806.0,980.0,'2,633','2,995',437.0,805.0,529.0,'4,120',591.0,173.0,'2,255','18,728',218.0,193.0,172.0,928.0,'3,087',653.0,490.0,'4,452',112.0,171.0,'3,276','1,619','5,726','6,253','3,070',795.0,684.0,457.0,'1,820','4,271','2,908','3,154',578.0,139.0,837.0,393.0,233.0,106.0,562.0,'5,684','7,207',305.0,612.0,'5,179','28,643','2,524','4,096','1,257',729.0,452.0,'3,622',550.0,'7,141','2,782',829.0,'17,097',910.0,246.0,995.0,153.0,499.0,'5,331',295.0,'2,187',250.0,'1,042','5,685',435.0,379.0,'2,790','3,258',769.0,262.0,'1,597',125.0,307.0,351.0,'7,754','3,550','2,774',101.0,195.0,181.0,180.0,'2,050',544.0,746.0,194.0,'1,769',335.0,197.0,100.0,774.0,847.0,369.0,'4,642',105.0,356.0,224.0,138.0,265.0,147.0,157.0,715.0,'31,347',451.0,'3,278',95.0,'11,803','9,687','5,695',376.0,'14,740','1,168','6,414',613.0,'1,582','5,930','4,273',530.0,771.0,47.0,102.0,751.0,'29,369','15,836',841.0,'4,473',217.0,'4,456',602.0,473.0,117.0,'1,117','1,107',258.0,'9,779','2,218','2,784','9,936','5,625','4,127','7,031',453.0,'1,268','1,599',315.0,310.0,'2,316',477.0,650.0,964.0,'3,596','14,094','3,075','5,209'}
@attribute AnswerSum {1.0,'6,214','2,902',537.0,'1,607',320.0,'3,641','7,613','1,079',52.0,3.0,'1,066',122.0,34.0,7.0,51.0,594.0,18.0,90.0,16.0,107.0,230.0,5.0,'1,274','1,900',106.0,343.0,262.0,182.0,129.0,55.0,157.0,9.0,38.0,124.0,71.0,40.0,21.0,858.0,48.0,298.0,10.0,77.0,265.0,401.0,287.0,554.0,196.0,261.0,463.0,130.0,'1,611',4.0,145.0,873.0,'1,566','4,132',256.0,476.0,271.0,'1,333',41.0,'3,248',884.0,19.0,617.0,31.0,13.0,27.0,'1,706',39.0,233.0,790.0,'1,670',25.0,291.0,584.0,246.0,2.0,43.0,42.0,457.0,44.0,'5,659',15.0,908.0,117.0,20.0,'1,294','2,473',198.0,514.0,331.0,374.0,85.0,344.0,56.0,'1,339',354.0,349.0,102.0,17.0,98.0,35.0,8.0,24.0,495.0,321.0,92.0,479.0,76.0,100.0,631.0,91.0,67.0,126.0,318.0,156.0,68.0,12.0,54.0,133.0,282.0,'2,830',57.0,449.0,140.0,84.0,258.0,513.0,28.0,155.0,6.0,72.0,11.0,14.0,58.0,99.0,161.0,69.0,'1,065',197.0,205.0,366.0,286.0,114.0,134.0,110.0,70.0,32.0,242.0,96.0,108.0,63.0,566.0,'3,517',36.0,961.0,0.0,880.0,23.0,227.0,153.0,22.0,65.0,50.0,75.0,'1,058',61.0,946.0,97.0,47.0,93.0,669.0,309.0,103.0,26.0,159.0,236.0,382.0,234.0,522.0,125.0,279.0,132.0,228.0,89.0,'1,092',467.0,105.0,118.0,'3,181',86.0,144.0,758.0,'1,089',163.0,'1,810',49.0,87.0,477.0,893.0,115.0,511.0,883.0,'2,474',164.0,59.0,209.0,280.0,60.0,316.0,'1,161',376.0,551.0,'2,377',281.0,415.0,78.0,379.0,267.0,62.0,'3,272',53.0,'1,438',855.0,104.0,'1,174','1,085',458.0,95.0,37.0,378.0,170.0,400.0,199.0,743.0,370.0,'3,520',45.0,66.0,235.0,319.0,128.0,212.0,101.0,120.0,154.0,350.0,663.0,341.0,601.0,94.0,3262.0,270.0,1613.0,377.0,1431.0,323.0,260.0,179.0,168.0,333.0,1294.0,73.0,308.0,942.0,162.0,297.0,1089.0,113.0,540.0,257.0,184.0,903.0,158.0,264.0,283.0,81.0,'2,908',74.0,177.0,475.0,689.0,173.0,314.0,521.0,531.0,'2,828','1,213',247.0,169.0,29.0,33.0,127.0,833.0,46.0,'1,814',359.0,112.0,338.0,'3,832','1,395','7,941',420.0,472.0,'1,415','1,004',433.0,368.0,481.0,'1,431',181.0,202.0,109.0,'1,377',346.0,'1,458',430.0,'1,087',624.0,307.0,668.0,588.0,'1,576',676.0,625.0,'7,615',387.0,455.0,519.0,64.0,761.0,'9,076',146.0,441.0,'3,262',237.0,945.0,'6,501','2,508',148.0,204.0,172.0,909.0,294.0,141.0,274.0,217.0,436.0,409.0,88.0,142.0,30.0,166.0,306.0,203.0,277.0,'1,295','1,088',183.0,'1,436',684.0,83.0,225.0,111.0,641.0,698.0,310.0,'1,708',494.0,'2,832','2,909',608.0,381.0,249.0,490.0,892.0,150.0,794.0,253.0,'3,149',82.0}
@attribute useful {yes,no}

@data
213,1.0,0,0,269.0,1.0,yes
73,5.0,0,0,'10,174','6,214',yes
42,23.0,0,1,'4,119','2,902',yes
98,9.0,0,1,'16,651',537.0,no
291,7.0,1,1,387.0,'1,607',yes
164,5.0,0,0,375.0,320.0,no
120,9.0,1,0,'10,175','6,214',yes
256,11.0,0,1,'6,162','3,641',yes
111,24.0,1,0,'28,623','7,613',yes
344,5.0,1,1,'1,644','1,079',yes
342,9.0,1,0,71.0,52.0,yes
57,1.0,0,0,13.0,3.0,no
180,0.0,0,0,272.0,'1,066',no
119,1.0,0,0,1.0,1.0,yes
82,6.0,1,0,'10,175','6,214',yes
123,5.0,0,0,'10,175','6,214',yes
69,3.0,0,0,387.0,'1,607',no
307,2.0,0,0,18.0,122.0,no
214,0.0,0,0,17.0,34.0,no
18,1.0,0,0,21.0,7.0,yes
59,1.0,0,0,'10,175','6,214',yes
82,2.0,1,0,'10,175','6,214',no
249,23.0,1,1,387.0,'1,607',no
588,17.0,1,1,597.0,51.0,no
23,6.0,1,0,'4,119','2,902',yes
78,3.0,0,0,115.0,594.0,no
185,3.0,1,0,80.0,18.0,no
279,7.0,1,1,146.0,90.0,yes
153,0.0,0,0,89.0,16.0,yes
294,54.0,0,1,697.0,107.0,no
156,1.0,0,0,'10,175','6,214',yes
63,1.0,1,0,599.0,230.0,no
16,0.0,0,0,36.0,5.0,no
220,3.0,1,1,472.0,'1,274',yes
161,2.0,1,0,'10,175','6,214',no
55,2.0,0,0,'4,119','2,902',no
114,1.0,0,1,'1,829','1,900',no
220,5.0,1,1,135.0,106.0,no
164,82.0,0,1,'16,651',537.0,no
70,14.0,0,0,53.0,343.0,no
133,5.0,0,0,170.0,16.0,yes
247,10.0,1,0,'1,644','1,079',yes
133,1.0,0,0,238.0,262.0,no
743,42.0,0,1,'2,748',182.0,yes
121,1.0,1,1,242.0,129.0,no
95,1.0,0,0,46.0,55.0,no
82,0.0,0,0,83.0,157.0,no
253,1.0,1,1,20.0,9.0,no
308,1.0,0,0,77.0,38.0,no
272,1.0,0,0,6.0,124.0,no
294,1.0,0,1,723.0,71.0,no
342,0.0,0,0,40.0,40.0,no
477,1.0,0,1,12.0,21.0,no
26,1.0,0,1,'4,594',858.0,no
10,12.0,0,0,115.0,48.0,no
72,1.0,0,0,281.0,298.0,no
86,0.0,0,0,58.0,10.0,no
288,1.0,0,0,18.0,77.0,no
353,27.0,0,1,'1,119',265.0,no
242,4.0,0,0,322.0,401.0,no
177,0.0,0,0,472.0,'1,274',no
104,73.0,0,1,176.0,129.0,no
938,21.0,0,1,97.0,287.0,no
318,8.0,0,1,357.0,554.0,no
297,80.0,1,1,'9,100',196.0,no
34,8.0,0,1,267.0,261.0,no
116,7.0,0,1,'6,704',463.0,no
247,28.0,1,1,645.0,130.0,no
120,9.0,1,0,'10,175','6,214',no
256,11.0,0,1,'6,162','3,641',no
111,24.0,1,0,'28,623','7,613',no
344,5.0,1,1,'1,644','1,079',no
342,9.0,1,0,71.0,52.0,no
57,1.0,0,0,13.0,3.0,no
180,0.0,0,0,272.0,'1,066',no
119,1.0,0,0,1.0,1.0,no
875,273.0,1,0,'9,100',196.0,no
2343,1.4k,0,1,'49,950','1,611',no
158,4.0,1,1,0.0,4.0,no
72,1.0,0,0,1.0,1.0,no
174,14.0,1,1,160.0,145.0,no
438,316.0,1,0,'26,838',873.0,no
210,6.0,0,1,'27,814','1,566',no
413,162.0,1,1,'9,858','4,132',no
189,556.0,1,1,163.0,256.0,yes
306,711.0,0,1,'14,060',476.0,yes
97,35.0,0,1,32.0,271.0,yes
211,16.0,0,1,'7,143','1,333',yes
50,4.0,0,0,137.0,41.0,no
144,22.0,0,1,531.0,'3,248',no
23,4.0,0,0,'1,956',884.0,no
148,21.0,0,1,110.0,19.0,yes
161,2.0,0,1,82.0,617.0,yes
63,2.0,0,0,15.0,31.0,yes
187,2.0,0,1,61.0,157.0,yes
87,3.0,0,0,53.0,343.0,yes
64,4.0,0,0,5.0,13.0,yes
298,1.0,0,1,21.0,27.0,yes
126,2.0,1,1,221.0,'1,706',yes
162,11.0,0,1,274.0,39.0,yes
255,0.0,0,0,467.0,233.0,yes
100,1.0,0,0,20.0,790.0,yes
77,0.0,0,0,159.0,'1,670',yes
94,3.0,1,0,11.0,25.0,yes
285,0.0,0,0,8.0,38.0,yes
81,0.0,0,0,10.0,40.0,yes
51,2.0,0,0,34.0,291.0,yes
19,1.0,0,1,41.0,584.0,yes
27,1.0,0,0,109.0,246.0,yes
10,1.0,0,0,90.0,2.0,yes
38,0.0,0,0,20.0,43.0,yes
200,0.0,0,0,39.0,42.0,no
317,21.0,0,1,'5,672',457.0,yes
154,3.0,0,0,14.0,42.0,yes
12,4.0,0,1,9.0,44.0,yes
99,2.0,0,0,548.0,'5,659',yes
39,1.0,0,0,1.0,15.0,yes
285,0.0,0,0,132.0,908.0,yes
464,2.0,1,0,66.0,51.0,yes
15,0.0,0,0,15.0,117.0,yes
20,2.0,1,0,19.0,20.0,yes
112,19.0,0,0,711.0,'1,294',yes
19,6.0,0,0,'6,409','2,473',yes
55,1.0,0,0,51.0,198.0,yes
272,312.0,0,1,'19,986',514.0,yes
86,9.0,0,0,270.0,331.0,yes
42,19.0,0,0,155.0,374.0,yes
243,1.0,0,1,70.0,85.0,yes
192,4.0,0,0,'1,956',884.0,yes
91,4.0,0,0,3.0,1.0,yes
320,14.0,0,1,185.0,48.0,yes
147,1.0,1,0,'1,644','1,079',yes
50,3.0,0,0,1.0,7.0,yes
78,3.0,0,0,248.0,77.0,yes
73,3.0,0,0,672.0,344.0,yes
61,0.0,1,0,5.0,56.0,yes
173,0.0,0,0,?,?,yes
66,0.0,0,0,121.0,7.0,yes
85,1.0,0,0,'1,378','1,339',yes
474,4.0,0,0,'6,327',354.0,yes
121,0.0,0,0,30.0,349.0,yes
13,0.0,0,0,0.0,1.0,yes
15,6.0,1,0,48.0,102.0,no
36,1.0,0,0,5.0,17.0,yes
752,807.0,0,1,'19,986',514.0,yes
276,24.0,0,1,39.0,4.0,yes
207,8.0,0,1,187.0,98.0,yes
231,1.0,0,0,18.0,35.0,yes
118,0.0,0,0,2.0,8.0,yes
13,0.0,0,0,0.0,24.0,yes
369,7.0,0,1,'4,335',495.0,yes
96,3.0,0,1,3.0,8.0,yes
20,12.0,0,1,'3,116',321.0,yes
157,0.0,1,0,'1,280',92.0,no
73,4.0,0,0,260.0,7.0,no
158,5.0,0,1,922.0,479.0,yes
30,0.0,0,0,7.0,7.0,yes
131,1.0,0,1,17.0,76.0,yes
226,0.0,0,0,179.0,100.0,yes
89,3.0,0,0,'1,318',631.0,yes
123,0.0,0,0,314.0,91.0,yes
51,2.0,0,1,159.0,67.0,yes
56,0.0,0,0,48.0,126.0,yes
41,0.0,0,1,?,?,yes
147,0.0,0,0,338.0,5.0,yes
104,0.0,0,0,27.0,8.0,yes
44,0.0,0,0,5.0,5.0,yes
57,0.0,0,1,251.0,98.0,yes
117,1.0,0,1,458.0,318.0,yes
23,5.0,0,0,135.0,156.0,yes
155,2.0,0,0,85.0,41.0,no
94,1.0,0,1,603.0,3.0,yes
57,0.0,0,0,26.0,77.0,yes
33,0.0,0,0,10.0,68.0,yes
230,0.0,0,0,0.0,2.0,yes
23,0.0,1,0,0.0,12.0,yes
162,266.0,0,1,'1,994',51.0,yes
195,2.0,0,1,144.0,54.0,no
429,3.0,1,0,956.0,133.0,yes
95,1.0,0,0,79.0,8.0,yes
563,92.0,1,1,651.0,55.0,no
42,5.0,1,0,515.0,282.0,no
732,8.0,1,0,956.0,133.0,no
62,7.0,1,0,4.0,17.0,yes
50,1.0,0,1,4.0,2.0,yes
10,1.0,0,0,30.0,44.0,yes
28,3.0,0,0,2.0,2.0,yes
59,0.0,0,0,1.0,1.0,yes
55,1.0,0,1,'5,592','2,830',yes
84,1.0,0,0,0.0,8.0,no
145,1.0,0,0,38.0,261.0,yes
90,1.0,1,0,13.0,57.0,no
56,0.0,0,0,45.0,15.0,yes
52,5.0,0,0,460.0,449.0,yes
51,1.0,0,0,78.0,140.0,yes
89,2.0,1,0,211.0,84.0,yes
30,4.0,0,0,91.0,24.0,yes
423,6.0,0,1,321.0,258.0,yes
56,2.0,0,0,3.0,2.0,yes
149,1.0,0,0,82.0,617.0,no
241,0.0,0,0,'1,644','1,079',yes
298,0.0,0,0,87.0,513.0,yes
21,0.0,0,0,2.0,28.0,yes
281,0.0,0,0,15.0,17.0,yes
44,0.0,0,1,15.0,155.0,yes
27,0.0,0,0,0.0,6.0,yes
231,0.0,0,0,1.0,72.0,no
66,4.0,0,0,'1,318',631.0,no
102,6.0,0,1,189.0,6.0,yes
369,3.0,0,0,355.0,11.0,yes
120,0.0,0,0,?,?,yes
84,0.0,0,0,8.0,14.0,yes
7,1.0,0,0,67.0,21.0,no
29,3.0,0,0,'1,318',631.0,no
115,3.0,0,1,'1,956',884.0,no
106,6.0,0,1,424.0,58.0,yes
26,6.0,0,0,210.0,91.0,yes
43,2.0,0,1,280.0,99.0,yes
