Word,Upvote,Link,Comment,Follower,AnswerSum,useful
213,1,0,0,269,1,yes
73,5,0,0,"10,174","6,214",yes
42,23,0,1,"4,119","2,902",yes
98,9,0,1,"16,651",537,no
291,7,1,1,387,"1,607",yes
164,5,0,0,375,320,no
120,9,1,0,"10,175","6,214",yes
256,11,0,1,"6,162","3,641",yes
111,24,1,0,"28,623","7,613",yes
344,5,1,1,"1,644","1,079",yes
342,9,1,0,71,52,yes
57,1,0,0,13,3,no
180,0,0,0,272,"1,066",no
119,1,0,0,1,1,yes
82,6,1,0,"10,175","6,214",yes
123,5,0,0,"10,175","6,214",yes
69,3,0,0,387,"1,607",no
307,2,0,0,18,122,no
214,0,0,0,17,34,no
18,1,0,0,21,7,yes
59,1,0,0,"10,175","6,214",yes
82,2,1,0,"10,175","6,214",no
249,23,1,1,387,"1,607",no
588,17,1,1,597,51,no
23,6,1,0,"4,119","2,902",yes
78,3,0,0,115,594,no
185,3,1,0,80,18,no
279,7,1,1,146,90,yes
153,0,0,0,89,16,yes
294,54,0,1,697,107,no
156,1,0,0,"10,175","6,214",yes
63,1,1,0,599,230,no
16,0,0,0,36,5,no
220,3,1,1,472,"1,274",yes
161,2,1,0,"10,175","6,214",no
55,2,0,0,"4,119","2,902",no
114,1,0,1,"1,829","1,900",no
220,5,1,1,135,106,no
164,82,0,1,"16,651",537,no
70,14,0,0,53,343,no
133,5,0,0,170,16,yes
247,10,1,0,"1,644","1,079",yes
133,1,0,0,238,262,no
743,42,0,1,"2,748",182,yes
121,1,1,1,242,129,no
95,1,0,0,46,55,no
82,0,0,0,83,157,no
253,1,1,1,20,9,no
308,1,0,0,77,38,no
272,1,0,0,6,124,no
294,1,0,1,723,71,no
342,0,0,0,40,40,no
477,1,0,1,12,21,no
26,1,0,1,"4,594",858,no
10,12,0,0,115,48,no
72,1,0,0,281,298,no
86,0,0,0,58,10,no
288,1,0,0,18,77,no
353,27,0,1,"1,119",265,no
242,4,0,0,322,401,no
177,0,0,0,472,"1,274",no
104,73,0,1,176,129,no
938,21,0,1,97,287,no
318,8,0,1,357,554,no
297,80,1,1,"9,100",196,no
34,8,0,1,267,261,no
116,7,0,1,"6,704",463,no
247,28,1,1,645,130,no
120,9,1,0,"10,175","6,214",no
256,11,0,1,"6,162","3,641",no
111,24,1,0,"28,623","7,613",no
344,5,1,1,"1,644","1,079",no
342,9,1,0,71,52,no
57,1,0,0,13,3,no
180,0,0,0,272,"1,066",no
119,1,0,0,1,1,no
875,273,1,0,"9,100",196,no
2343,1.4k,0,1,"49,950","1,611",no
158,4,1,1,0,4,no
72,1,0,0,1,1,no
174,14,1,1,160,145,no
438,316,1,0,"26,838",873,no
210,6,0,1,"27,814","1,566",no
413,162,1,1,"9,858","4,132",no
189,556,1,1,163,256,yes
306,711,0,1,"14,060",476,yes
97,35,0,1,32,271,yes
211,16,0,1,"7,143","1,333",yes
50,4,0,0,137,41,no
144,22,0,1,531,"3,248",no
23,4,0,0,"1,956",884,no
148,21,0,1,110,19,yes
161,2,0,1,82,617,yes
63,2,0,0,15,31,yes
187,2,0,1,61,157,yes
87,3,0,0,53,343,yes
64,4,0,0,5,13,yes
298,1,0,1,21,27,yes
126,2,1,1,221,"1,706",yes
162,11,0,1,274,39,yes
255,0,0,0,467,233,yes
100,1,0,0,20,790,yes
77,0,0,0,159,"1,670",yes
94,3,1,0,11,25,yes
285,0,0,0,8,38,yes
81,0,0,0,10,40,yes
51,2,0,0,34,291,yes
19,1,0,1,41,584,yes
27,1,0,0,109,246,yes
10,1,0,0,90,2,yes
38,0,0,0,20,43,yes
200,0,0,0,39,42,no
317,21,0,1,"5,672",457,yes
154,3,0,0,14,42,yes
12,4,0,1,9,44,yes
99,2,0,0,548,"5,659",yes
39,1,0,0,1,15,yes
285,0,0,0,132,908,yes
464,2,1,0,66,51,yes
15,0,0,0,15,117,yes
20,2,1,0,19,20,yes
112,19,0,0,711,"1,294",yes
19,6,0,0,"6,409","2,473",yes
55,1,0,0,51,198,yes
272,312,0,1,"19,986",514,yes
86,9,0,0,270,331,yes
42,19,0,0,155,374,yes
243,1,0,1,70,85,yes
192,4,0,0,"1,956",884,yes
91,4,0,0,3,1,yes
320,14,0,1,185,48,yes
147,1,1,0,"1,644","1,079",yes
50,3,0,0,1,7,yes
78,3,0,0,248,77,yes
73,3,0,0,672,344,yes
61,0,1,0,5,56,yes
173,0,0,0,,,yes
66,0,0,0,121,7,yes
85,1,0,0,"1,378","1,339",yes
474,4,0,0,"6,327",354,yes
121,0,0,0,30,349,yes
13,0,0,0,0,1,yes
15,6,1,0,48,102,no
36,1,0,0,5,17,yes
752,807,0,1,"19,986",514,yes
276,24,0,1,39,4,yes
207,8,0,1,187,98,yes
231,1,0,0,18,35,yes
118,0,0,0,2,8,yes
13,0,0,0,0,24,yes
369,7,0,1,"4,335",495,yes
96,3,0,1,3,8,yes
20,12,0,1,"3,116",321,yes
157,0,1,0,"1,280",92,no
73,4,0,0,260,7,no
158,5,0,1,922,479,yes
30,0,0,0,7,7,yes
131,1,0,1,17,76,yes
226,0,0,0,179,100,yes
89,3,0,0,"1,318",631,yes
123,0,0,0,314,91,yes
51,2,0,1,159,67,yes
56,0,0,0,48,126,yes
41,0,0,1,,,yes
147,0,0,0,338,5,yes
104,0,0,0,27,8,yes
44,0,0,0,5,5,yes
57,0,0,1,251,98,yes
117,1,0,1,458,318,yes
23,5,0,0,135,156,yes
155,2,0,0,85,41,no
94,1,0,1,603,3,yes
57,0,0,0,26,77,yes
33,0,0,0,10,68,yes
230,0,0,0,0,2,yes
23,0,1,0,0,12,yes
162,266,0,1,"1,994",51,yes
195,2,0,1,144,54,no
429,3,1,0,956,133,yes
95,1,0,0,79,8,yes
563,92,1,1,651,55,no
42,5,1,0,515,282,no
732,8,1,0,956,133,no
62,7,1,0,4,17,yes
50,1,0,1,4,2,yes
10,1,0,0,30,44,yes
28,3,0,0,2,2,yes
59,0,0,0,1,1,yes
55,1,0,1,"5,592","2,830",yes
84,1,0,0,0,8,no
145,1,0,0,38,261,yes
90,1,1,0,13,57,no
56,0,0,0,45,15,yes
52,5,0,0,460,449,yes
51,1,0,0,78,140,yes
89,2,1,0,211,84,yes
30,4,0,0,91,24,yes
423,6,0,1,321,258,yes
56,2,0,0,3,2,yes
149,1,0,0,82,617,no
241,0,0,0,"1,644","1,079",yes
298,0,0,0,87,513,yes
21,0,0,0,2,28,yes
281,0,0,0,15,17,yes
44,0,0,1,15,155,yes
27,0,0,0,0,6,yes
231,0,0,0,1,72,no
66,4,0,0,"1,318",631,no
102,6,0,1,189,6,yes
369,3,0,0,355,11,yes
120,0,0,0,,,yes
84,0,0,0,8,14,yes
7,1,0,0,67,21,no
29,3,0,0,"1,318",631,no
115,3,0,1,"1,956",884,no
106,6,0,1,424,58,yes
26,6,0,0,210,91,yes
43,2,0,1,280,99,yes
61,2,0,0,93,161,no
45,1,0,0,204,69,no
21,0,0,0,324,"1,065",yes
29,1,0,0,96,38,yes
37,0,0,0,272,20,yes
23,1,0,0,8,55,yes
156,1,0,0,1,8,yes
49,1,0,0,1,12,yes
56,0,0,0,"5,592","2,830",yes
88,0,0,0,,,yes
163,30,0,1,"3,059",197,yes
103,1,0,0,"1,644","1,079",yes
40,1,0,0,"5,592","2,830",no
51,0,0,1,465,205,no
126,2,0,0,134,366,no
206,8,0,1,922,479,yes
68,1,0,0,"1,644","1,079",yes
90,1,0,0,37,24,yes
41,0,0,0,808,286,yes
34,3,0,1,93,114,yes
156,5,0,1,"1,063",134,no
162,1,0,0,10,21,no
219,3,0,0,555,11,no
106,140,1,1,"6,480",110,yes
308,7,0,0,271,70,yes
108,1,0,0,9,32,yes
227,2,0,1,33,242,yes
64,1,0,0,0,7,yes
381,17,0,1,"1,318",631,yes
76,0,0,0,,,yes
163,0,0,0,223,2,yes
660,6,0,1,577,96,yes
74,0,0,0,317,108,yes
270,0,0,0,361,63,yes
125,0,0,0,649,566,yes
43,0,0,0,6,1,yes
107,8,0,0,"4,636","3,517",yes
124,4,0,0,8,92,no
68,6,1,1,143,36,yes
56,2,0,0,77,19,yes
94,2,0,0,211,961,yes
21,3,1,0,0,0,yes
243,2,0,0,0,0,yes
26,0,0,0,0,0,yes
534,15,0,0,"1,729",880,yes
97,4,1,0,956,133,yes
36,13,0,0,59,23,yes
35,4,0,0,278,5,yes
29,1,0,1,256,36,yes
117,1,1,0,129,13,yes
102,1,1,1,50,227,yes
43,1,0,1,4,32,yes
135,3,1,0,"4,269",153,yes
76,3,0,1,13,7,yes
106,3,1,0,515,282,no
19,1,0,1,32,4,yes
31,1,0,0,25,22,yes
93,0,1,0,63,65,yes
20,0,0,0,57,50,yes
54,8,0,0,328,13,yes
13,0,0,0,83,21,no
24,2,1,0,"1,963",75,yes
58,5,0,0,39,4,yes
169,2,0,1,"2,215","1,058",yes
102,0,0,1,27,50,yes
252,0,0,1,34,28,yes
18,0,0,0,2,6,no
207,0,0,0,85,61,no
220,189,0,1,"29,212","1,294",no
244,59,0,0,"15,750",946,no
218,64,1,1,827,9,no
75,3,0,0,120,15,no
78,9,0,0,48,12,no
36,13,0,0,113,161,no
100,8,1,0,3,1,no
66,1,0,0,644,23,no
46,10,0,0,290,2,no
48,5,0,0,184,1,no
13,19,0,1,"4,449",97,no
154,7,0,0,51,6,no
28,1,0,1,36,7,no
244,1,0,0,216,47,no
206,52,1,0,392,48,no
196,51,1,1,330,93,no
28,15,0,0,583,669,yes
239,19,1,1,332,309,no
160,22,1,0,300,39,no
77,15,0,1,132,103,no
16,17,0,0,"1,598",20,no
23,0,1,0,29,2,no
171,1,1,0,78,26,no
18,0,0,1,3,5,no
40,3,1,1,40,43,no
77,14,1,1,97,51,yes
78,16,0,0,788,159,no
19,7,0,1,109,22,no
37,7,1,0,48,10,no
21,1,0,0,177,54,no
17,0,0,0,29,1,no
25,0,0,1,83,1,no
10,1,0,1,249,236,no
45,91,0,1,456,382,no
