@relation ????

@attribute Word numeric
@attribute Upvote numeric
@attribute Link numeric
@attribute Comment numeric
@attribute useful {yes,no}

@data
10,10,0,0,yes
13,2,0,1,yes
10,1,0,0,yes
21,6,0,0,yes
22,2,0,1,no
16,50,0,0,yes
16,7,0,0,no
20,6,0,0,no
22,5,0,1,no
12,8,0,0,no
7,5,0,0,no
23,7,0,0,no
13,17,0,0,no
16,6,0,0,no
16,50,0,0,no
16,3,0,0,no
12,93,0,1,yes
4,2,0,0,yes
16,12,0,0,yes
12,15,0,0,yes
11,79,0,0,yes
3,7,0,0,yes
7,9,0,1,yes
10,229,0,0,yes
12,11,0,1,yes
11,6,0,0,yes
10,8,0,0,yes
15,7,0,0,yes
31,9,0,0,yes
5,3,0,0,yes
5,7,0,1,yes
11,16,0,1,yes
5,3,0,0,yes
6,5,0,1,yes
12,23,0,1,yes
16,104,0,1,yes
10,27,0,0,yes
11,8,0,0,yes
5,7,0,0,yes
7,6,0,0,yes
9,15,0,0,yes
11,9,0,1,no
12,9,0,1,no
5,1,0,0,yes
4,4,0,0,yes
13,16,0,1,yes
6,8,0,0,yes
9,15,0,0,no
24,37,0,1,yes
10,3,0,0,yes
7,11,0,0,yes
20,31,0,1,yes
16,5,0,1,yes
5,14,0,0,yes
9,150,0,1,yes
9,24,0,0,yes
9,9,0,1,yes
9,22,0,0,yes
11,19,0,0,yes
12,39,0,1,yes
15,9,0,1,yes
15,45,0,0,yes
11,8,0,0,yes
16,20,0,0,yes
13,6,0,0,yes
13,8,0,0,yes
15,7,0,0,yes
11,4,0,0,no
13,8,0,0,yes
22,10,0,0,yes
25,5,0,0,yes
16,1,0,0,yes
20,3,0,0,yes
31,5,0,0,yes
27,10,0,0,no
14,1,0,0,yes
28,3,0,0,no
47,2,0,0,yes
15,4,0,0,yes
9,37,0,0,yes
12,685,0,0,no
6,8,0,0,no
16,195,0,0,no
27,14,0,0,yes
5,40,0,0,yes
10,57,0,0,yes
5,6,0,1,no
8,16,0,0,yes
20,17,0,0,yes
10,36,0,0,no
14,11,0,0,yes
7,6,0,0,no
13,2,0,0,yes
10,26,0,0,no
17,54,0,1,yes
3,1,0,0,no
9,13,0,0,no
11,6,0,0,no
11,10,0,0,yes
10,14,0,0,yes
21,12,0,0,no
9,6,0,0,yes
11,17,0,0,no
11,4,0,0,yes
13,7,0,0,no
20,49,0,0,no
15,18,0,0,yes
10,4,0,0,no
16,16,0,0,no
15,13,0,0,no
11,3,0,0,yes
15,9,0,0,yes
16,5,0,0,yes
16,6,0,0,yes
8,3,0,0,no
15,6,0,0,yes
13,2,0,0,no
10,2,0,0,no
12,1,0,0,no
12,3,0,0,yes
11,3,0,0,no
2,6,0,0,yes
7,37,0,1,yes
3,2,0,1,yes
12,23,0,1,yes
11,110,0,1,yes
8,11,0,0,no
9,15,0,0,yes
5,5,0,0,yes
8,10,0,0,yes
8,21,0,0,yes
7,9,0,0,yes
11,66,0,0,yes
18,11,0,0,yes
5,3,0,0,yes
10,7,0,0,yes
8,20,0,0,yes
11,22,0,0,yes
11,21,0,0,yes
10,8,0,0,no
11,22,0,0,yes
5,5,0,0,yes
18,14,0,0,yes
9,4,0,0,yes
10,9,0,0,yes
12,2,0,1,yes
12,8,0,0,yes
13,21,0,0,yes
30,9,0,0,no
10,12,0,0,yes
6,2,0,0,yes
15,12,0,0,yes
12,6,0,1,yes
9,4,0,0,no
11,4,0,0,yes
10,7,0,1,yes
9,7,0,0,yes
9,3,0,0,yes
17,14,0,0,no
10,7,0,0,yes
24,5,0,1,yes
12,8,0,0,no
9,5,0,0,yes
17,15,0,0,yes
14,16,0,0,yes
14,9,0,0,yes
10,4,0,0,yes
11,6,0,1,yes
7,2,0,0,yes
10,15,0,0,yes
12,9,0,0,yes
10,5,0,0,yes
17,30,0,0,no
6,1,0,0,yes
15,17,0,0,yes
11,4,0,0,yes
15,1,0,0,yes
31,14,0,0,yes
14,8,0,0,yes
13,5,0,1,yes
8,32,0,0,yes
9,8,0,0,yes
11,9,0,0,yes
7,6,0,0,yes
12,149,0,0,no
